Model,Rank,shrink,item_knn_topk,NDCG@10,Log File,hidden_dimension,latent_dimension,anneal_cap,embedding_dim,n_layers
ItemKNN,1,1.0,200.0,0.26275891787508465,lastfm model hyperparameter search\lastfm_ItemKNN_0628_204102.log,,,,,
ItemKNN,2,0.5,200.0,0.26262300635358027,lastfm model hyperparameter search\lastfm_ItemKNN_0628_204344.log,,,,,
ItemKNN,3,1.0,150.0,0.2618161431171416,lastfm model hyperparameter search\lastfm_ItemKNN_0628_205534.log,,,,,
ItemKNN,4,0.5,150.0,0.2614327333983878,lastfm model hyperparameter search\lastfm_ItemKNN_0628_205812.log,,,,,
ItemKNN,5,1.0,100.0,0.2598301018562802,lastfm model hyperparameter search\lastfm_ItemKNN_0628_205007.log,,,,,
ItemKNN,6,0.5,100.0,0.25878007287456795,lastfm model hyperparameter search\lastfm_ItemKNN_0628_205257.log,,,,,
ItemKNN,7,0.5,100.0,0.25878007287456795,lastfm model hyperparameter search\lastfm_ItemKNN_0628_210709.log,,,,,
ItemKNN,8,1.0,50.0,0.25556198478378606,lastfm model hyperparameter search\lastfm_ItemKNN_u0.5_s0.5_pTrue_0629_174425.log,,,,,
ItemKNN,9,5.0,200.0,0.2539384042529888,lastfm model hyperparameter search\lastfm_ItemKNN_0628_203125.log,,,,,
ItemKNN,10,5.0,250.0,0.253805887453111,lastfm model hyperparameter search\lastfm_ItemKNN_0628_203454.log,,,,,
MultiVAE,1,,,0.2706141318432202,lastfm model hyperparameter search\lastfm_MultiVAE_0628_202307.log,600.0,200.0,0.4,,
MultiVAE,2,,,0.27054284742778956,lastfm model hyperparameter search\lastfm_MultiVAE_0628_210230.log,800.0,200.0,0.4,,
MultiVAE,3,,,0.26888765769003753,lastfm model hyperparameter search\lastfm_MultiVAE_0628_205234.log,800.0,200.0,0.4,,
MultiVAE,4,,,0.26623577304629187,lastfm model hyperparameter search\lastfm_MultiVAE_0628_201646.log,600.0,200.0,0.3,,
MultiVAE,5,,,0.2642191187413214,lastfm model hyperparameter search\lastfm_MultiVAE_0629_040033.log,1000.0,200.0,0.3,,
MultiVAE,6,,,0.26401033267935664,lastfm model hyperparameter search\lastfm_MultiVAE_0628_011608.log,800.0,200.0,0.3,,
MultiVAE,7,,,0.2638051505400374,lastfm model hyperparameter search\lastfm_MultiVAE_0628_004332.log,600.0,200.0,0.3,,
MultiVAE,8,,,0.26340357790826474,lastfm model hyperparameter search\lastfm_MultiVAE_0628_013104.log,800.0,300.0,0.3,,
MultiVAE,9,,,0.2625664366057457,lastfm model hyperparameter search\lastfm_MultiVAE_0628_005903.log,600.0,300.0,0.3,,
MultiVAE,10,,,0.2592182437919165,lastfm model hyperparameter search\lastfm_MultiVAE_0628_010646.log,800.0,200.0,0.2,,
LightGCN,1,,,0.3345666857397854,lastfm model hyperparameter search\lastfm_LightGCN_0628_000348.log,,,,128.0,4.0
LightGCN,2,,,0.33032226068346116,lastfm model hyperparameter search\lastfm_LightGCN_0627_223228.log,,,,64.0,4.0
LightGCN,3,,,0.32984068260682586,lastfm model hyperparameter search\lastfm_LightGCN_0627_232824.log,,,,128.0,3.0
LightGCN,4,,,0.32549992940575617,lastfm model hyperparameter search\lastfm_LightGCN_0627_214435.log,,,,64.0,3.0
